word,pos,ipa,meaning
appoint,v,/əˈpɔɪnt/,"ấn định (ngày giờ, nơi chốn)"
annual,adj,/ˈænjuəl/,hàng năm
diagnose,v,/ˌdaɪəɡˈnoʊs/,chẩn đoán
effective,adj,/ɪˈfektɪv/,hiệu quả
instrument,n,/ˈɪnstrəmənt/,"dụng cụ, thiết bị"
manage,v,/ˈmænɪdʒ/,"kiểm soát, quản lý"
promptly,adv,/´prɔmptli/,"mau lẹ, nhanh chóng; ngay lập tức"
process,n,/’prouses/,"quá trình, sự tiến triển"
profile,n,/´proufail/,tiểu sử sơ lược; mô tả sơ lược
prohibit,v,/proʊ’hɪbɪt/,"cấm, ngăn cấm"
profitability,n,/’prɔfitə’biləti/,"sự có lợi, sự có ích; sự thuận lợi"
protect,v,/prə’tekt/,"bảo vệ, bảo hộ, che chở"
prevent,v,/prɪˈvent/,ngăn chặn
realize,v,/’riәlaiz/,"thấy rõ, hiểu rõ, nhận thức rõ"
record,v,/rɪˈkɔːrd/,ghi chép lại
recommend,v,/ˌrekəˈmend/,"đề nghị, gợi ý"
serious,adj,/ˈsɪriəs/,"nghiêm trọng, nặng"
aspect,n,/ˈæspekt/,khía cạnh
alternative,adj,/ɔːlˈtɜːrnətɪv/,"thay thế, khác"
"concern  (n, v)",,/kənˈsɜːrn/,"bận tâm, lo lắng (v) mối quan tâm, lo lắng (n)"
emphasize,v,/ˈemfəsaɪz/,nhấn mạnh
incur,v,/ɪnˈkɜːr/,gánh chịu
portion,n,/ˈpɔːrʃn/,phần
policy,n,/ˈpɑːləsi/,chính sách
personnel,n,/ˌpɜːrsəˈnel/,nhân sự
reimburse,v,/ˌriːɪmˈbɜːrs/,hoàn trả
regardless,adv,/rɪˈɡɑrdləs/,bất chấp
reception,n,/ri’sep∫n/,"sự nhận, sự thu nhận, sự lĩnh"
recognize,v,/’rekəgnaiz/,"công nhận, thừa nhận, chấp nhận"
refundable,adj,/ri´fʌndəbl/,có thể được trả lại tiền
refusal,n,ri´fju:zl/,"sự từ chối, sự khước từ; sự bị từ chối"
regarding,n,/ri´ga:diη/,"về việc, đối với vấn đề…"
regularly,adv,/´regjuləli/,"đều đặn, thường xuyên"
suit,v,/suːt/,hợp với
treat,v,/triːt/,chữa trị
authorize,v,/ˈɔːθəraɪz/,ủy quyền
admit,v,/ədˈmɪt/,"cho vào, cho phép"
accompany,v,/əˈkʌmpəni/,đi cùng
designate,v,/ˈdezɪɡneɪt/,chỉ rõ
identify,v,/aɪˈdentɪfaɪ/,nhận diện
procedure,n,/prəˈsiːdʒər/,quy trình
pertinent,adj,/ˈpɜːrtnənt/,có liên quan
permission,n,/pərˈmɪʃn/,sự chấp thuận
result,n,/rɪˈzʌlt/,kết quả
relaxation,n,/¸ri:læk´seiʃən/,"sự dịu đi, sự bớt căng thẳng"
remain,v,/rɪˈmeɪn/,duy trì
rescue,v,/ˈres.kjuː/,cứu ai đó khỏi nguy hiểm
reservation,n,/ˌrez.ɚˈveɪ.ʃən/,dự phòng
responsibility,n,/rɪˌspɑːn.səˈbɪl.ə.t̬i/,trách nhiệm; sự chịu trách nhiệm; bổn phận; nghĩa vụ
save,n,/seiv/,"cứu nguy, cứu vãn"
salvage,n,/´sælvidʒ/,"sự cứu hộ, sự cứu chạy"
surgery,n,/ˈsɜːrdʒəri/,ca phẫu thuật
statement,n,/ˈsteɪtmənt/,"bản tường trình, báo cáo"
vaccination,n,/ˌvæk.səˈneɪ.ʃən/,tiêm chủng
authorize,v,/ˈɔːθəraɪz/,ủy quyền
admit,v,/ədˈmɪt/,"cho vào, cho phép"
accompany,v,/əˈkʌmpəni/,đi cùng
designate,v,/ˈdezɪɡneɪt/,chỉ rõ
escort,n,/ɪˈskɔːrt/,người hộ tống
identify,v,/aɪˈdentɪfaɪ/,nhận diện
procedure,n,/prəˈsiːdʒər/,quy trình
pertinent,adj,/ˈpɜːrtnənt/,có liên quan
permission,n,/pərˈmɪʃn/,sự chấp thuận
result,n,/rɪˈzʌlt/,kết quả
statement,n,/ˈsteɪtmənt/,"bản tường trình, báo cáo"
vendor,n,/ˈven.dɚ/,người bán
venture,n,/ˈven.tʃɚ/,liên doanh
venue,n,/ˈven.juː/,địa điểm
virus,n,/ˈvaɪ.rəs/,virus
vital,adj,/ˈvaɪ.t̬əl/,thiết yếu
wholesale,v,/ˈhoʊl.seɪl/,"bán sỉ, bán buôn"
convenient,adj,/kənˈviːniənt/,thuận tiện
consultation,n,/ˌkɑnslˈteɪʃn/,"việc bàn bạc, hội ý"
detect,v,/dɪˈtekt/,"tìm ra, phát hiện ra"
factor,n,/ˈfæktər/,yếu tố
interaction,n,/ˌɪntərˈækt/,sự tương tác
limit,n,/ˈlɪmɪt/,"giới hạn, định mức"
monitor,v,/ˈmɑːnɪtər/ 54,giám sát
potential,adj,/pəˈtenʃl/,tiềm năng
sense,n,/sens/,khả năng phán đoán (n) cảm thấy (v)
sample,n,/ˈsæmpl/,mẫu thử (n)
upgrade,v,/ʌpˈɡreɪd/,nâng cấp
variety,n,/vəˈraɪ.ə.t̬i/,sự đa dạng
"volunteer (n, v)",,/ˌvɑː.lənˈtɪr/,tình nguyện (v) tình nguyện viên (n)
warehouse,n,/ˈwer.haʊs/,kho hàng
waterproof,adj,/ˈwɑː.t̬ɚ.pruːf/,chống nước
worthless,adj,/ˈwɝːθ.ləs/,"không có giá trị, vô giá trị"
yield,v,/jiːld/,"sản xuất, cung cấp"
delighted,adj,/dɪˈlaɪ.t̬ɪd/,"hài lòng, vui mừng"
downturn,n,/ˈdaʊn.tɝːn/,sự suy sụp
endure,v,/ɪnˈdʊr/,"chịu đựng, cam chịu"
intently,adv,/ɪnˈtent.li/,"chăm chú, chú ý"
jealous,adj,/ˈdʒel.əs/,"ghen ghét, đố kỵ"
keen,adj,/kiːn/,"say mê, ham thích"
onward,adj,/’ɔnwəd/,"về phía trước, tiến lên, hướng tới"
optimistic,adj,/¸ɔpti´mistik/,"lạc quan, yêu đời"
pleasant,adj,/’plezənt/,"vui vẻ, dễ thương"
pointless,adj,/´pɔintlis/,"vô nghĩa, không ý vị, lạc lõng"
polite,adj,/pəˈlaɪt/,"lễ phép, có lễ độ; lịch sự, lịch thiệp"
regardless,adv,/ri´ga:dlis/,"bất chấp, không đếm xỉa tới, không chú ý tới"
"regret (n, v)",,/ri’gret/,hối tiếc; sự ân hận
satisfied,adj,/’sætisfaid/,"cảm thấy hài lòng, cảm thấy vừa ý; thoả mãn"
terrible,adj,/ˈter.ə.bəl/,kinh khủng
terrific,adj,/təˈrɪf.ɪk/,tuyệt vời
trust,v,/trʌst/,"tin, tin tưởng"
"upset (v, adj)",,/ʌpˈset/,"buồn bã, lo lắng"
administration,n,/ədˌmɪn.əˈstreɪ.ʃən/,"sự quản lý, quản trị"
agricultural,adj,/ˌæɡ.rəˈkʌl.tʃɚ.əl/,(thuộc) nông nghiệp
airline,n,/ˈer.laɪn/,công ty hàng không
apply,v,/əˈplaɪ/,"áp dụng, ứng tuyển"
apprentice,n,/əˈpren.t̬ɪs/,người học việc
"audit (n, v)",,/ˈɑː.dɪt/,kiểm toán
bank,n,/bæŋk/,"ngân hàng, bãi sông"
boardroom,n,/ˈbɔːrd.ruːm//ˈbɔːrd.rʊm/,phòng họp ban giám đốc
"broadcast (n, v)",,/ˈbrɑːd.kæst/,"chương trình phát thanh; truyền bá, phát thanh"
cabin crew,n,/ˈkæb.ɪn ˌkruː/,"đội bay, tiếp viên hàng không"
candidate,n,/ˈkæn.dɪ.dət//ˈkæn.dɪ.deɪt/,ứng cử viên
cashier,n,/kæʃˈɪr/,nhân viên thu ngân
consultant,n,/kənˈsʌl.tənt/,"tư vấn viên, cố vấn"
chef,n,/ʃef/,đầu bếp
courier,n,/ˈkʊr.i.ɚ/,"người đưa thư, đưa tin"
developer,n,/dɪˈvel.ə.pɚ/,"người phát triển, lập trình viên"
employer,n,/ɪmˈplɔɪ.ɚ/,"người làm chủ, người sử dụng lao động"
engineer,n,/ˌen.dʒɪˈnɪr/,kỹ sư
admire,v,/ədˈmaɪr/,"ngưỡng mộ, thán phục"
background,n,/ˈbæk.ɡraʊnd/,"phông nền, gia cảnh, quá trình học tập"
beautiful,adj,/ˈbjuː.t̬ə.fəl/,"xinh đẹp, tốt đẹp"
behave,v,/bɪˈheɪv/,"hành xử, cư xử"
bored,adj,/bɔːrd/,"buồn chán, tẻ nhạt"
bottom line,n,/ˌbɑː.t̬əm ˈlaɪn/,"điểm mấu chốt, cốt yếu"
capital,n,/ˈkæp.ə.t̬əl/,"thủ đô, nguồn vốn, chữ viết hoa"
compliment,n,/ˈkɑːm.plə.mənt/,"lời khen, sự ca tụng"
critical,adj,/ˈkrɪt̬.ɪ.kəl/,"phê bình, phê phánnguy kịch"
document,n,/ˈdɑː.kjə.mənt/,"văn kiện, tài liệu; dẫn chứng tư liệu"
enlighten,v,/ɪnˈlaɪ.t̬ən/,"làm sáng tỏ, khai sáng"
exhibit,v,/ɪɡˈzɪb.ɪt/,"trưng bày, triển lãm"
perform,v,/pə´fɔ:m/,"biểu diễn, trình diễn (kịch, điệu nhảy…); đóng"
popularity,n,/ˌpɒpyəˈlærɪti/,tính đại chúng; tính phổ biến
potential,adj,/pəˈtenʃl/,tiềm năng; tiềm tàng
accommodation,n,/əˌkɑː.məˈdeɪ.ʃən/,"chỗ ở, nơi ở; sự điều tiết, hòa giải"
aisle,n,/aɪl/,"gian hàng, lối đi giữa các dãy ghế"
assignment,n,/əˈsaɪn.mənt/,"sự phân việc, bài tập tiểu luận"
briefcase,n,/ˈbriːf.keɪs/,cặp tài liệu
bulletin,n,/ˈbʊl.ə.t̬ɪn/,"bảng thông báo, tập san"
cafeteria,n,/ˌkæf.əˈtɪr.i.ə/,"quán ăn tự phục vụ, phòng cà phê"
drawer,n,/drɑː/,ngăn kéo
furniture,n,/ˈfɝː.nɪ.tʃɚ/,đồ đạc
lobby,n,/lɒb.i/,hành lang
major,n,/ˈmeɪdʒər/,chuyên đề
monitor,n,/’mɔnitə/,"lớp trưởng, cán bộ lớp"
moral,adj,/ˈmɔːr.əl/,"(thuộc) đạo đức, phẩm hạnh tinh thần bài học, lời răn dạy"
outline,n,/´aut¸lain/,"nét phác thảo, đề cương; sự vạch ra những nét chính"
platform,n,/’plætfɔ:m/,"nền, bục, bệ"
range,n,/reɪndʒ/,"dãy, hàng"
reschedule,v,/ˌriːˈskedʒ.uːl/,"lên lịch, sắp xếp lịch"
"act (n, v)",,/ækt/,hành động; thực hiện
agenda,n,/əˈdʒen.də/,"chương trình nghị sự, kế hoạch chương trình"
"aid (n, v)",,/eɪd/,"sự giúp đỡ; cứu trợ, viện trợ"
ambitious,adj,/æmˈbɪʃ.əs/,tham vọng
authority,n,/əˈθɔːr.ə.t̬i/,"quyền thế, nhà chức trách, chính quyền"
campaign,n,/kæmˈpeɪn/,"chiến dịch, cuộc vận động"
candidacy,n,/ˈkæn.dɪ.də.si/,sự ứng cử
charity,n,/ˈtʃer.ə.t̬i/,"lòng từ bi, tổ chức từ thiện"
designate,v,/ˈdez.ɪɡ.neɪt/,"chỉ định, bổ nhiệm"
force,n,/fɔːrs/,"sức mạnh, quyền lực"
meeting,n,/’mi:tiɳ/,"cuộc mít tinh, cuộc biểu tình"
official,adj,/ə’fiʃəl/,(thuộc) chính quyền; (thuộc) văn phòng
personnel,n,/¸pə:sə´nel/,"nhân viên, công chức (cơ quan, nhà máy…)"
policy,n,/pɔlisi/,"chính sách (của chính phủ, đảng…)"
politician,n,"/,pɒlə’tɪʃn/",nhà chính trị; chính khách
politics,n,/’pɔlitiks/,"hoạt động chính trị, công việc chính trị"
poll,n,/poul/,sự bầu cử; số phiếu bầu
donate,v,/ˈdoʊ.neɪt/,"quyên góp, đóng góp"
accident,n,/ˈæk.sə.dənt/,"tai nạn, sự tình cờ"
alarm,n,/əˈlɑːrm/,sự báo động; báo động
allow,v,/əˈlaʊ/,"cho phép, để cho"
assistance,n,/əˈsɪs.təns/,"sự giúp đỡ, hỗ trợ"
circumstances,n,/ˈsɝː.kəm.stæns/,"hoàn cảnh, tình huống"
commute,v,/kəˈmjuːt/,"thay đổi cho nhau, di chuyển đều đặn bằng tàu, xe…"
commuter,n,/kəˈmjuː.t̬ɚ/,"người đi lại bằng vé tháng trên tàu, xe…"
"crash (n, v)",,/kræʃ/,"sự va đập, sụp đổ; rơi vỡ, va đập"
emergency,n,/ɪˈmɝː.dʒən.si/,trường hợp khẩn cấp
jeopardy,n,/ˈdʒep.ɚ.di/,"nguy cơ, sự nguy hiểm"
justice,n,/ˈdʒʌs.tɪs/,"sự công bằng, luật pháp"
lean,n,/li:n/,"độ nghiêng, độ dốc"
limousine,n,/´limə¸zi:n/,xe hơi
narrow,adj,/’nærou/,"hẹp, chật hẹp, eo hẹp"
recent,adj,/´ri:sənt/,"gần đây, xảy ra gần đây, mới đây"
regional,adj,/ˈridʒənl/,(thuộc) vùng; địa phương
shuttle,n,/ˈʃʌt̬.əl/,xe đưa đón
traffic,n,/ˈtræf.ɪk/,giao thông
